Дата публикации,Ссылка,Цена,Адрес,Год постройки,Материал постройки,Отопление,Кол-во комнат,Общая площадь,Жилая площадь,Площадь кухни,Расположение квартиры,Этаж,Окна выходят,Ремонт,Раздельных санузлов
 Обновлено 14 октября,https://vladis.ru/syktyvkar/kupit-kvartiru/7552666,3840000 ₽,"Россия, Республика Коми, Сыктывкар, улица Морозова, 170",1990,Панельный,Центральное,2-комн.,48.5 м²,29 м²,8 м²,не угловая,2,"Во двор, На улицу",Косметический,1
 Обновлено 11 октября,https://vladis.ru/syktyvkar/kupit-kvartiru/7520918,4600000 ₽,"Россия, Республика Коми, Сыктывкар, улица Морозова, 39",1972,Панельный,Центральное,2-комн.,48.9 м²,33.8 м²,6.3 м²,не угловая,5,Во двор,Косметический,1
 Обновлено 13 октября,https://vladis.ru/syktyvkar/kupit-kvartiru/7225698,4365000 ₽,"Россия, Республика Коми, Сыктывкар, улица Морозова, 39",1972,Панельный,Центральное,3-комн.,62.6 м²,44.3 м²,6.2 м²,не угловая,4,Во двор,Косметический,1
 Обновлено 9 октября,https://vladis.ru/syktyvkar/kupit-kvartiru/6849028,3165000 ₽,"Россия, Республика Коми, Сыктывкар, Тентюковская улица, 308",2017,Кирпичный,Центральное,Студия,22 м²,15 м²,5 м²,не угловая,8,На улицу,Евро,
 Обновлено 2 октября,https://vladis.ru/syktyvkar/kupit-kvartiru/6243626,1680000 ₽,"Россия, Республика Коми, Сыктывкар, Парковая улица, 36",1983,Панельный,Центральное,1-комн.,17.5 м²,11.5 м²,3 м²,не угловая,1,На улицу,Евро,
 Обновлено 1 октября,https://vladis.ru/syktyvkar/kupit-kvartiru/6188081,3200000 ₽,"Россия, Республика Коми, Сыктывкар, улица Куратова, 35",1985,Панельный,Центральное,1-комн.,30.1 м²,16 м²,9 м²,не угловая,3,На улицу,Евро,2
 Обновлено 30 сентября,https://vladis.ru/syktyvkar/kupit-kvartiru/6150661,3165000 ₽,"Россия, Республика Коми, Сыктывкар, район Орбита, Петрозаводская улица, 47",2024,Кирпичный,Центральное,Студия,24.6 м²,10 м²,6 м²,не угловая,11,На улицу,,
 Обновлено 9 октября,https://vladis.ru/syktyvkar/kupit-kvartiru/6059705,7900000 ₽,"Россия, Республика Коми, Сыктывкар, Тентюковская улица, 304",2018,Кирпичный,Центральное,2-комн.,65.5 м²,34 м²,22 м²,не угловая,2,"На улицу, Во двор",,
 Обновлено 29 сентября,https://vladis.ru/syktyvkar/kupit-kvartiru/6059563,12000000 ₽,"Россия, Республика Коми, Сыктывкар, улица Куратова, 76",2015,Кирпичный,Центральное,2-комн.,77 м²,36 м²,22 м²,не угловая,6,"На улицу, Во двор",,
 Обновлено 29 сентября,https://vladis.ru/syktyvkar/kupit-kvartiru/5922519,9700000 ₽,"Россия, Республика Коми, Сыктывкар, Тентюковская улица, 333",2020,Кирпичный,Центральное,2-комн.,55 м²,24 м²,13 м²,не угловая,4,На улицу,Дизайнерский,
