,name,experience,employment,created_at,selary,address,type,schedule,work_schedule_by_days,working_hours
126559396,Оператор производственной линии (автоматических станков и установок),От 1 года до 3 лет,Полная занятость,2025-10-15 T12:12:52,100000-None RUR,"Ульяновск, 11-й Инженерный проезд, 33",Открытая,Полный день,Другое,12 часов
126842962,Бухгалтер по реализации/оператор 1с,От 1 года до 3 лет,Полная занятость,2025-10-23 T07:51:25,300000-None KZT,"Алматы, улица Таира Жарокова, 189А",Открытая,Полный день,5/2,8 часов
126287109,Менеджер по работе с заказами / оператор 1С,Нет опыта,Полная занятость,2025-10-23 T09:07:53,120000-150000 RUR,"Новомосковский административный округ, Проектируемый проезд № 134",Открытая,Полный день,5/2,8 часов
126730039,Оператор 1С,От 1 года до 3 лет,Полная занятость,2025-10-23 T13:36:50,70000-80000 RUR,"Краснодар, Центральный внутригородской округ, микрорайон Черёмушки, улица Вишняковой, 1/5",Открытая,Полный день,5/2,8 часов
126906311,Оператор видеонаблюдения,От 1 года до 3 лет,Полная занятость,2025-10-24 T11:25:16,220000-None KZT,"Алматы, улица Климента Тимирязева, 42к3",Открытая,Сменный график,1/2,По договорённости
126629628,Оператор ПК,От 1 года до 3 лет,Полная занятость,2025-10-16 T20:42:46,130000-130000 RUR,"Москва, Южнопортовая улица",Открытая,Полный день,5/2,8 часов
125909497,Оператор по обработке заказов,От 1 года до 3 лет,Полная занятость,2025-10-23 T16:09:30,45000-50000 RUR,Не указано,Открытая,Удаленная работа,5/2,8 часов
126824130,Оператор станка резки АКБ,Нет опыта,Полная занятость,2025-10-22 T14:05:52,100000-170000 RUR,"Рязань, Куйбышевское шоссе, 31",Открытая,Полный день,Другое,6 часов
126364001,Оператор call-центра,От 1 года до 3 лет,Полная занятость,2025-10-09 T14:45:18,350000-600000 KZT,"Астана, проспект Туран, 55",Открытая,Сменный график,2/2,10 часов
125481703,Оператор 1C,От 1 года до 3 лет,Полная занятость,2025-10-23 T11:44:00,85000-None RUR,"Санкт-Петербург, улица Орджоникидзе, 44",Открытая,Полный день,5/2,9 часов
126157113,Оператор call-центра,Нет опыта,Полная занятость,2025-10-06 T08:22:43,600000-800000 KZT,"Астана, Есильский район, улица Акмешит, 9",Открытая,Полный день,6/1,8 часов
126789975,Оператор 1 С / первичной документации / ПК,От 1 года до 3 лет,Полная занятость,2025-10-24 T16:30:20,60000-None RUR,"Краснодар, 2-я Российская улица, 162/1А",Открытая,Полный день,5/2,8 часов
126885390,Оператор по обработке документов 5/2,От 1 года до 3 лет,Полная занятость,2025-10-23 T16:38:49,50000-None RUR,"Коломна, Колхозная улица, 12Ас4",Открытая,Полный день,5/2,8 часов
126809090,Специалист по выписке документов (Оператор 1С),От 1 года до 3 лет,Полная занятость,2025-10-22 T10:08:47,45000-None RUR,"Воронеж, улица Антонова-Овсеенко, 38",Открытая,Полный день,5/2,8 часов
